,StorageLevel,Inflow,Outflow,Precipitation,AvgTemp,SnowDepth,Snowfall,Precip_7d_sum,Precip_30d_sum,Temp_7d_avg,SnowDepth_30d_avg,Snowfall_7d_sum,Month,Forecast_Precip_7d_sum,Forecast_Temp_7d_avg,Forecast_1M_Precip_Below,Forecast_1M_Precip_Normal,Forecast_1M_Precip_Above,Forecast_1M_Temp_Below,Forecast_1M_Temp_Normal,Forecast_1M_Temp_Above
2000-04-06,247.94,50.06,18.44,0.0,6.3,0.0,0.0,23.0,155.0,5.385714285714286,11.966666666666667,0.0,4,57.0,6.657142857142858,8,29,63,59,33,8
2000-04-07,248.78,29.79,20.16,0.0,6.1,0.0,0.0,22.0,147.0,5.085714285714286,11.4,0.0,4,68.0,6.757142857142858,14,28,58,70,22,8
2000-04-08,249.32,33.61,20.1,2.0,6.7,0.0,0.0,17.0,135.0,5.4142857142857155,10.266666666666667,0.0,4,66.0,6.9142857142857155,6,23,71,69,24,7
2000-04-09,249.87,30.68,20.1,0.0,6.5,0.0,0.0,17.0,130.0,5.671428571428572,9.1,0.0,4,66.0,6.742857142857145,20,22,58,58,23,19
2000-04-10,250.35,30.22,20.1,17.0,8.4,0.0,0.0,34.0,147.0,6.428571428571429,8.233333333333333,0.0,4,49.0,6.2,7,30,63,48,30,22
2000-04-11,252.18,84.47,42.62,26.0,3.8,0.0,0.0,60.0,173.0,6.328571428571429,7.733333333333333,0.0,4,27.0,6.742857142857143,16,32,52,56,18,26
2000-04-12,252.29,44.4,49.79,12.0,5.6,0.0,0.0,57.0,179.0,6.2,7.133333333333334,0.0,4,15.0,7.342857142857143,15,21,64,72,22,6
2000-04-13,252.26,40.11,38.76,0.0,9.5,0.0,0.0,57.0,175.0,6.657142857142858,6.266666666666667,0.0,4,25.0,6.785714285714286,12,26,62,58,27,15
2000-04-14,252.43,39.9,34.07,11.0,6.8,0.0,0.0,68.0,185.0,6.757142857142858,5.7,0.0,4,85.0,7.1000000000000005,17,17,66,63,17,20
2000-04-15,252.53,25.56,29.6,0.0,7.8,0.0,0.0,66.0,167.0,6.9142857142857155,4.5,0.0,4,123.0,7.628571428571428,13,29,58,27,48,25
2000-04-16,252.25,18.39,23.78,0.0,5.3,0.0,0.0,66.0,163.0,6.742857142857145,3.3333333333333335,0.0,4,124.0,8.142857142857142,7,33,60,23,53,24
2000-04-17,252.05,11.69,16.61,0.0,4.6,0.0,0.0,49.0,163.0,6.2,2.433333333333333,0.0,4,124.0,8.957142857142857,24,19,57,16,58,26
2000-04-18,251.92,14.96,13.41,4.0,7.6,0.0,0.0,27.0,167.0,6.742857142857143,1.8333333333333333,0.0,4,121.0,9.414285714285715,20,17,63,12,55,33
2000-04-19,252.21,33.97,26.11,0.0,9.8,0.0,0.0,15.0,167.0,7.342857142857143,1.5,0.0,4,124.0,9.314285714285715,12,21,67,26,52,22
2000-04-20,252.35,32.72,34.73,10.0,5.6,0.0,0.0,25.0,177.0,6.785714285714286,1.3666666666666667,0.0,4,149.0,9.871428571428572,11,29,60,25,48,27
2000-04-21,252.26,56.49,52.9,71.0,9.0,0.0,0.0,85.0,247.0,7.1000000000000005,1.2,0.0,4,85.0,9.785714285714286,21,30,49,19,46,35
2000-04-22,252.3,170.57,183.97,38.0,11.5,0.0,0.0,123.0,285.0,7.628571428571428,1.2,0.0,4,47.0,9.557142857142859,16,26,58,19,50,31
2000-04-23,251.75,71.56,87.58,1.0,8.9,0.0,0.0,124.0,275.0,8.142857142857142,1.2,0.0,4,46.0,10.157142857142858,15,27,58,10,20,70
2000-04-24,251.54,55.35,57.11,0.0,10.3,0.0,0.0,124.0,266.0,8.957142857142857,1.0666666666666667,0.0,4,46.0,10.400000000000002,21,32,47,22,28,50
2000-04-25,251.81,44.32,34.84,1.0,10.8,0.0,0.0,121.0,259.0,9.414285714285715,0.6,0.0,4,63.0,10.585714285714287,15,32,53,11,31,58
2000-04-26,252.15,40.05,34.89,3.0,9.1,0.0,0.0,124.0,261.0,9.314285714285715,0.06666666666666667,0.0,4,86.0,10.92857142857143,7,28,65,19,27,54
2000-04-27,252.72,74.93,61.46,35.0,9.5,0.0,0.0,149.0,295.0,9.871428571428572,0.0,0.0,4,51.0,11.214285714285717,18,51,31,21,22,57
2000-04-28,252.61,72.96,79.46,7.0,8.4,0.0,0.0,85.0,271.0,9.785714285714286,0.0,0.0,4,44.0,11.685714285714285,22,52,26,13,23,64
2000-04-29,252.48,57.98,58.43,0.0,9.9,0.0049261083743842365,0.0049261083743842365,47.0,261.0,9.557142857142859,0.00016420361247947455,0.0049261083743842365,4,44.0,11.671428571428573,13,57,30,10,34,56
2000-04-30,252.72,49.02,42.06,0.0,13.1,0.009852216748768473,0.009852216748768473,46.0,260.0,10.157142857142858,0.0004926108374384236,0.014778325123152709,4,44.0,11.557142857142859,25,55,20,21,29,50
2000-05-01,252.93,48.67,45.74,0.0,12.0,0.014778325123152709,0.014778325123152709,46.0,253.0,10.400000000000002,0.0009852216748768472,0.029556650246305417,5,47.0,11.900000000000002,25,49,26,52,33,15
2000-05-02,253.18,42.56,29.04,18.0,12.1,0.019704433497536946,0.019704433497536946,63.0,271.0,10.585714285714287,0.0016420361247947456,0.04926108374384237,5,29.0,12.35714285714286,15,49,36,62,20,18
2000-05-03,254.05,78.46,70.67,26.0,11.5,0.024630541871921183,0.024630541871921183,86.0,297.0,10.92857142857143,0.0024630541871921183,0.07389162561576355,5,3.0,12.442857142857145,52,28,20,62,26,12
2000-05-04,254.03,51.2,51.2,0.0,11.5,0.029556650246305417,0.029556650246305417,51.0,297.0,11.214285714285717,0.0034482758620689655,0.10344827586206896,5,3.0,12.542857142857144,59,21,20,72,18,10
2000-05-05,253.98,42.91,43.59,0.0,11.7,0.034482758620689655,0.034482758620689655,44.0,282.0,11.685714285714285,0.004597701149425287,0.13793103448275862,5,10.0,13.014285714285716,66,19,15,57,26,17
2000-05-06,253.51,42.91,60.56,0.0,9.8,0.03940886699507389,0.03940886699507389,44.0,282.0,11.671428571428573,0.005911330049261084,0.1724137931034483,5,18.0,13.714285714285717,56,24,20,22,52,26
2000-05-07,252.89,39.87,48.91,0.0,12.3,0.04433497536945813,0.04433497536945813,44.0,282.0,11.557142857142859,0.007389162561576355,0.20689655172413793,5,41.0,14.114285714285714,47,31,22,24,51,25
2000-05-08,252.72,46.43,45.54,3.0,14.4,0.04926108374384237,0.04926108374384237,47.0,283.0,11.900000000000002,0.0090311986863711,0.2413793103448276,5,38.0,14.22857142857143,58,26,16,10,67,23
2000-05-09,252.81,47.56,45.53,0.0,15.3,0.054187192118226604,0.054187192118226604,29.0,283.0,12.35714285714286,0.01083743842364532,0.27586206896551724,5,38.0,13.900000000000002,61,24,15,18,56,26
2000-05-10,252.8,42.93,45.85,0.0,12.1,0.059113300492610835,0.059113300492610835,3.0,266.0,12.442857142857145,0.012807881773399013,0.31034482758620685,5,38.0,13.942857142857141,51,26,23,19,50,31
2000-05-11,252.59,39.48,46.0,0.0,12.2,0.06403940886699508,0.06403940886699508,3.0,240.0,12.542857142857144,0.014942528735632184,0.3448275862068966,5,38.0,14.357142857142858,67,20,13,13,59,28
2000-05-12,252.36,42.07,45.22,7.0,15.0,0.06896551724137931,0.06896551724137931,10.0,235.0,13.014285714285716,0.017241379310344827,0.3793103448275862,5,31.0,14.314285714285713,45,33,22,20,51,29
2000-05-13,252.24,42.87,45.34,8.0,14.7,0.07389162561576355,0.07389162561576355,18.0,243.0,13.714285714285717,0.019704433497536946,0.41379310344827586,5,25.0,14.171428571428573,70,19,11,24,54,22
2000-05-14,252.63,71.88,59.75,23.0,15.1,0.07881773399014778,0.07881773399014778,41.0,255.0,14.114285714285714,0.02233169129720854,0.4482758620689655,5,13.0,13.857142857142858,68,18,14,26,51,23
2000-05-15,252.65,48.86,53.58,0.0,15.2,0.08374384236453201,0.08374384236453201,38.0,255.0,14.22857142857143,0.025123152709359605,0.4827586206896552,5,13.0,14.042857142857144,57,18,25,21,52,27
2000-05-16,252.31,38.55,46.86,0.0,13.0,0.08866995073891626,0.08866995073891626,38.0,255.0,13.900000000000002,0.028078817733990145,0.5172413793103449,5,14.0,14.700000000000001,59,27,14,12,53,35
2000-05-17,252.1,28.33,28.55,0.0,12.4,0.09359605911330049,0.09359605911330049,38.0,255.0,13.942857142857141,0.031198686371100164,0.5517241379310345,5,29.0,15.22857142857143,56,17,27,18,20,62
2000-05-18,252.2,24.94,22.02,0.0,15.1,0.09852216748768473,0.09852216748768473,38.0,251.0,14.357142857142858,0.034482758620689655,0.5862068965517242,5,29.0,15.5,65,23,12,7,37,56
2000-05-19,252.33,23.87,22.52,0.0,14.7,0.10344827586206896,0.10344827586206896,31.0,251.0,14.314285714285713,0.03793103448275862,0.6206896551724138,5,29.0,16.28571428571429,67,20,13,12,30,58
2000-05-20,252.3,21.95,23.76,2.0,13.7,0.10837438423645321,0.10837438423645321,25.0,243.0,14.171428571428573,0.04154351395730706,0.6551724137931034,5,27.0,17.114285714285717,63,26,11,17,16,67
2000-05-21,252.21,21.75,23.76,11.0,12.9,0.11330049261083744,0.11330049261083744,13.0,183.0,13.857142857142858,0.04532019704433498,0.6896551724137931,5,17.0,17.885714285714286,63,29,8,5,34,61
2000-05-22,252.08,19.93,23.75,0.0,16.5,0.11822660098522167,0.11822660098522167,13.0,145.0,14.042857142857144,0.04926108374384237,0.7241379310344828,5,20.0,18.071428571428573,60,27,13,6,20,74
2000-05-23,251.92,19.39,22.69,1.0,17.6,0.12315270935960591,0.12315270935960591,14.0,145.0,14.700000000000001,0.053366174055829226,0.7586206896551725,5,19.0,18.671428571428574,66,17,17,8,31,61
2000-05-24,251.89,23.8,22.04,15.0,16.1,0.12807881773399016,0.12807881773399016,29.0,160.0,15.22857142857143,0.05763546798029557,0.7931034482758621,5,4.0,18.814285714285717,62,30,8,24,27,49
2000-05-25,251.87,19.4,22.04,0.0,17.0,0.1330049261083744,0.1330049261083744,29.0,159.0,15.5,0.06206896551724138,0.8275862068965517,5,4.0,18.985714285714288,57,33,10,12,21,67
2000-05-26,251.71,17.87,22.05,0.0,20.2,0.13793103448275862,0.13793103448275862,29.0,156.0,16.28571428571429,0.06666666666666667,0.8620689655172413,5,4.0,18.6,63,17,20,18,33,49
2000-05-27,251.5,16.9,22.06,0.0,19.5,0.14285714285714285,0.14285714285714285,27.0,121.0,17.114285714285717,0.07142857142857142,0.896551724137931,5,4.0,18.342857142857145,73,22,5,17,22,61
2000-05-28,251.26,16.35,22.08,1.0,18.3,0.1477832512315271,0.1477832512315271,17.0,115.0,17.885714285714286,0.07635467980295567,0.9310344827586208,5,3.0,17.914285714285715,70,22,8,13,31,56
2000-05-29,251.05,18.05,22.09,3.0,17.8,0.15270935960591134,0.15270935960591134,20.0,118.0,18.071428571428573,0.0812807881773399,0.9655172413793104,5,0.0,17.542857142857144,23,55,22,6,22,72
2000-05-30,250.77,14.76,22.07,0.0,21.8,0.15763546798029557,0.15763546798029557,19.0,118.0,18.671428571428574,0.08620689655172414,1.0,5,0.0,16.75714285714286,11,57,32,14,29,57
2000-05-31,250.33,12.89,25.38,0.0,17.1,0.1625615763546798,0.1625615763546798,4.0,118.0,18.814285714285717,0.09113300492610836,1.0344827586206897,5,0.0,17.15714285714286,23,48,29,14,31,55
2000-06-01,249.71,15.69,27.07,0.0,18.2,0.16748768472906403,0.16748768472906403,4.0,100.0,18.985714285714288,0.0960591133004926,1.0689655172413792,6,0.0,17.071428571428573,63,28,9,57,19,24
2000-06-02,249.26,14.07,23.98,0.0,17.5,0.1724137931034483,0.1724137931034483,4.0,74.0,18.6,0.10098522167487685,1.103448275862069,6,14.0,16.914285714285715,53,28,19,54,32,14
2000-06-03,248.7,9.87,22.16,0.0,17.7,0.17733990147783252,0.17733990147783252,4.0,74.0,18.342857142857145,0.1059113300492611,1.1379310344827587,6,14.0,16.8,73,22,5,58,25,17
2000-06-04,248.08,9.32,22.28,0.0,15.3,0.18226600985221675,0.18226600985221675,3.0,74.0,17.914285714285715,0.11083743842364532,1.1724137931034482,6,27.0,16.65714285714286,63,16,21,22,51,27
2000-06-05,247.42,8.63,20.9,0.0,15.2,0.18719211822660098,0.18719211822660098,0.0,74.0,17.542857142857144,0.11576354679802957,1.206896551724138,6,27.0,16.714285714285715,59,28,13,24,54,22
2000-06-06,246.94,8.87,17.56,0.0,16.3,0.19211822660098524,0.19211822660098524,0.0,74.0,16.75714285714286,0.1206896551724138,1.2413793103448276,6,30.0,16.75714285714286,53,25,22,11,57,32
2000-06-07,246.47,8.27,17.82,0.0,19.9,0.19704433497536947,0.19704433497536947,0.0,71.0,17.15714285714286,0.12561576354679801,1.2758620689655173,6,55.0,16.25714285714286,58,26,16,11,55,34
2000-06-08,245.95,7.75,17.46,0.0,17.6,0.2019704433497537,0.2019704433497537,0.0,71.0,17.071428571428573,0.13054187192118227,1.310344827586207,6,55.0,16.371428571428574,29,49,22,22,50,28
2000-06-09,245.45,9.0,17.47,14.0,16.4,0.20689655172413793,0.20689655172413793,14.0,85.0,16.914285714285715,0.13546798029556648,1.3448275862068966,6,41.0,17.114285714285717,21,47,32,15,45,40
2000-06-10,245.06,8.63,14.47,0.0,16.9,0.21182266009852216,0.21182266009852216,14.0,85.0,16.8,0.14039408866995073,1.379310344827586,6,41.0,17.72857142857143,24,47,29,16,58,26
2000-06-11,244.77,9.74,14.44,13.0,14.3,0.21674876847290642,0.21674876847290642,27.0,91.0,16.65714285714286,0.14532019704433496,1.413793103448276,6,28.0,18.82857142857143,55,30,15,28,44,28
2000-06-12,244.37,7.37,17.43,0.0,15.6,0.22167487684729065,0.22167487684729065,27.0,83.0,16.714285714285715,0.15024630541871922,1.4482758620689655,6,28.0,19.75714285714286,13,53,34,25,53,22
2000-06-13,243.76,7.07,17.5,3.0,16.6,0.22660098522167488,0.22660098522167488,30.0,63.0,16.75714285714286,0.15517241379310345,1.4827586206896552,6,25.0,20.542857142857144,24,42,34,12,22,66
2000-06-14,243.26,12.38,17.58,25.0,16.4,0.2315270935960591,0.2315270935960591,55.0,88.0,16.25714285714286,0.16009852216748768,1.5172413793103448,6,0.0,21.22857142857143,56,32,12,14,23,63
2000-06-15,242.92,9.33,17.43,0.0,18.4,0.23645320197044334,0.23645320197044334,55.0,88.0,16.371428571428574,0.16502463054187191,1.5517241379310345,6,0.0,21.67142857142857,67,17,16,12,25,63
2000-06-16,242.33,6.82,17.34,0.0,21.6,0.2413793103448276,0.2413793103448276,41.0,88.0,17.114285714285717,0.16995073891625614,1.5862068965517242,6,0.0,21.45714285714286,60,32,8,10,34,56
2000-06-17,241.78,7.4,14.32,0.0,21.2,0.24630541871921183,0.24630541871921183,41.0,88.0,17.72857142857143,0.1748768472906404,1.620689655172414,6,4.0,20.942857142857147,66,27,7,23,23,54
2000-06-18,241.33,6.72,14.28,0.0,22.0,0.2512315270935961,0.2512315270935961,28.0,88.0,18.82857142857143,0.1798029556650246,1.6551724137931034,6,7.0,20.12857142857143,67,26,7,23,26,51
2000-06-19,240.79,5.99,14.79,0.0,22.1,0.2561576354679803,0.2561576354679803,28.0,86.0,19.75714285714286,0.18472906403940886,1.6896551724137931,6,7.0,19.285714285714285,60,20,20,10,36,54
2000-06-20,240.35,6.2,12.29,0.0,22.1,0.26108374384236455,0.26108374384236455,25.0,75.0,20.542857142857144,0.18965517241379312,1.7241379310344827,6,29.0,18.671428571428574,63,26,11,20,26,54
